unix_ts	series	value
1788835875	agg	454616.7166666667
1788835890	agg	199651.51666666666
1788835905	agg	0
1788835920	agg	0
1788835935	agg	0
1788835950	agg	0
1788835965	agg	0
1788835980	agg	0
1788835995	agg	0
1788836010	agg	0
1788836025	agg	0
1788836040	agg	0
1788836055	agg	0
1788836070	agg	0
1788836085	agg	0
1788836100	agg	0
1788836115	agg	0
1788836130	agg	0
1788836145	agg	0
1788836160	agg	0
1788836175	agg	0
1788836190	agg	0
1788836205	agg	0.05
1788836220	agg	0.05
1788836235	agg	0.05
1788836250	agg	0.05
1788836265	agg	0.049999166680555325
1788836280	agg	0.049999166680555325
1788836295	agg	0.049999166680555325
1788836310	agg	0.049999166680555325
1788836325	agg	0.08333333333333333
1788836340	agg	0.08333333333333333
1788836355	agg	0.08333333333333333
1788836370	agg	0.08333333333333333
1788836385	agg	0.06666666666666667
1788836400	agg	0.06666666666666667
1788836415	agg	0.06666666666666667
1788836430	agg	0.06666666666666667
1788836445	agg	0.06666666666666667
1788836460	agg	0.06666666666666667
1788836475	agg	0.06666666666666667
1788836490	agg	0.06666666666666667
1788836505	agg	0.08333333333333333
1788836520	agg	0.08333333333333333
1788836535	agg	0.08333333333333333
1788836550	agg	0.08333333333333333
1788836565	agg	0.05
1788836580	agg	0.05
1788836595	agg	0.05
1788836610	agg	0.05
1788836625	agg	0.08333333333333333
1788836640	agg	0.08333333333333333
1788836655	agg	0.08333333333333333
1788836670	agg	0.08333333333333333
1788836685	agg	0.08333333333333333
1788836700	agg	0.08333333333333333
1788836715	agg	0.08333333333333333
1788836730	agg	0.08333333333333333
1788836745	agg	0.08333333333333333
1788836760	agg	0.08333333333333333
1788836775	agg	0.08333333333333333
1788836790	agg	0.08333333333333333
1788836805	agg	0.08333333333333333
1788836820	agg	0.08333333333333333
1788836835	agg	0.08333333333333333
1788836850	agg	0.08333333333333333
1788836865	agg	0.08333333333333333
1788836880	agg	0.08333333333333333
1788836895	agg	0.08333333333333333
1788836910	agg	0.08333333333333333
1788836925	agg	0.08333333333333333
1788836940	agg	0.08333333333333333
1788836955	agg	0.08333333333333333
1788836970	agg	0.08333333333333333
1788836985	agg	0
1788837000	agg	0
1788837015	agg	0
1788837030	agg	0
1788837045	agg	0.016666666666666666
1788837060	agg	0.016666666666666666
1788837075	agg	0.016666666666666666
1788837090	agg	0.016666666666666666
1788837105	agg	0
1788837120	agg	0
1788837135	agg	0
1788837150	agg	0
1788837165	agg	0.049999166680555325
1788837180	agg	0.049999166680555325
1788837195	agg	0.049999166680555325
1788837210	agg	0.049999166680555325
1788837225	agg	0.05
1788837240	agg	0.05
1788837255	agg	0.05
1788837270	agg	0.05
1788837285	agg	0.05
1788837300	agg	0.05
1788837315	agg	0.05
1788837330	agg	0.05
1788837345	agg	0
1788837360	agg	0
1788837375	agg	0
1788837390	agg	0
1788837405	agg	0.05
1788837420	agg	0.05
1788837435	agg	0.05
1788837450	agg	0.05
1788837465	agg	0.06666666666666667
1788837480	agg	0.06666666666666667
1788837495	agg	0.06666666666666667
1788837510	agg	0.06666666666666667
1788837525	agg	0.06666666666666667
1788837540	agg	0.06666666666666667
1788837555	agg	0.06666666666666667
1788837570	agg	0.06666666666666667
1788837585	agg	0.06666666666666667
1788837600	agg	0.06666666666666667
1788837615	agg	0.06666666666666667
1788837630	agg	0.06666666666666667
1788837645	agg	0.08333333333333333
1788837660	agg	0.08333333333333333
1788837675	agg	0.08333333333333333
1788837690	agg	0.08333333333333333
1788837705	agg	0.06666666666666667
1788837720	agg	0.06666666666666667
1788837735	agg	0.06666666666666667
1788837750	agg	0.06666666666666667
1788837765	agg	0.06666666666666667
1788837780	agg	0.06666666666666667
1788837795	agg	0.06666666666666667
1788837810	agg	0.06666666666666667
1788837825	agg	0.08333333333333333
1788837840	agg	0.08333333333333333
1788837855	agg	0.08333333333333333
1788837870	agg	0.08333333333333333
1788837885	agg	0.08333333333333333
1788837900	agg	0.08333333333333333
1788837915	agg	0.08333333333333333
1788837930	agg	0.08333333333333333
1788837945	agg	0.08333333333333333
1788837960	agg	0.08333333333333333
1788837975	agg	0.08333333333333333
1788837990	agg	0.08333333333333333
1788838005	agg	0.08333333333333333
1788838020	agg	0.08333333333333333
1788838035	agg	0.08333333333333333
1788838050	agg	0.08333333333333333
1788838065	agg	0.08333333333333333
1788838080	agg	0.08333333333333333
1788838095	agg	0.08333333333333333
1788838110	agg	0.08333333333333333
1788838125	agg	0.06666555557407376
1788838140	agg	0.06666555557407376
1788838155	agg	0.06666555557407376
1788838170	agg	0.06666555557407376
1788838185	agg	0
1788838200	agg	0
1788838215	agg	0
1788838230	agg	0
1788838245	agg	308.95
1788838260	agg	308.95
1788838275	agg	1898.5166666666667
1788838290	agg	3164.383333333333
1788838305	agg	5730.866666666667
1788838320	agg	5730.866666666667
1788838335	agg	6448.85
1788838350	agg	6729.1
1788838365	agg	6035.083333333333
1788838380	agg	6035.083333333333
1788838395	agg	6097.1833333333325
1788838410	agg	6320.799999999999
1788838425	agg	6816.65
1788838440	agg	6816.65
1788838455	agg	7348.566666666667
1788838470	agg	7605.833333333333
1788838485	agg	8413.316666666666
1788838500	agg	8413.316666666666
1788838515	agg	8979.542203463276
1788838530	agg	9043.242203463276
1788838545	agg	9095.875536796608
1788838560	agg	9095.875536796608
1788838575	agg	8992.033333333333
1788838590	agg	9116.25
1788838605	agg	9015.233333333334
1788838620	agg	9015.233333333334
1788838635	agg	8866.066666666666
1788838650	agg	9402.516666666666
1788838665	agg	9880.866666666667
1788838680	agg	9880.866666666667
1788838695	agg	11439.150000000001
1788838710	agg	12094.366666666667
1788838725	agg	13299.3
1788838740	agg	13299.3
1788838755	agg	13993.133333333333
1788838770	agg	14442.969059682338
1788838785	agg	15417.435726349006
1788838800	agg	15417.435726349006
1788838815	agg	15410.81905968234
1788838830	agg	15255.483333333334
1788838845	agg	14164.116666666669
1788838860	agg	14164.116666666669
1788838875	agg	14013.866666666669
1788838890	agg	14233.316666666666
1788838905	agg	14102.783333333333
1788838920	agg	14102.783333333333
1788838935	agg	13454.2
1788838950	agg	13047.416666666668
1788838965	agg	11972.570043832602
1788838980	agg	11972.570043832602
1788838995	agg	12258.68671049927
1788839010	agg	12673.73671049927
1788839025	agg	14873.816666666666
1788839040	agg	14873.816666666666
1788839055	agg	15997.133333333333
1788839070	agg	16542.766666666666
1788839085	agg	16475.61666666667
1788839100	agg	16475.61666666667
1788839115	agg	16200.6
1788839130	agg	15236.966666666667
1788839145	agg	14700.983333333334
1788839160	agg	14700.983333333334
1788839175	agg	11932.766666666666
1788839190	agg	9979.916666666666
1788839205	agg	5421.866666666667
