unix_ts,series,value
1788832335,cqlite-flight,0
1788832350,cqlite-flight,0
1788832365,cqlite-flight,0
1788832380,cqlite-flight,0
1788832395,cqlite-flight,0
1788832410,cqlite-flight,0
1788832425,cqlite-flight,0
1788832440,cqlite-flight,0
1788832455,cqlite-flight,0
1788832470,cqlite-flight,0
1788832485,cqlite-flight,0
1788832500,cqlite-flight,0
1788832515,cqlite-flight,0
1788832530,cqlite-flight,0
1788832545,cqlite-flight,0
1788832560,cqlite-flight,0
1788832575,cqlite-flight,0
1788832590,cqlite-flight,0
1788832605,cqlite-flight,0
1788832620,cqlite-flight,0
1788832635,cqlite-flight,0
1788832650,cqlite-flight,0
1788832665,cqlite-flight,0
1788832680,cqlite-flight,0
1788832695,cqlite-flight,0
1788832710,cqlite-flight,0
1788832725,cqlite-flight,0
1788832740,cqlite-flight,0
1788832755,cqlite-flight,0
1788832770,cqlite-flight,0
1788832785,cqlite-flight,0
1788832800,cqlite-flight,0
1788832815,cqlite-flight,0
1788832830,cqlite-flight,0
1788832845,cqlite-flight,0
1788832860,cqlite-flight,0
1788832875,cqlite-flight,0
1788832890,cqlite-flight,0
1788832905,cqlite-flight,0
1788832920,cqlite-flight,0
1788832935,cqlite-flight,0
1788832950,cqlite-flight,0
1788832965,cqlite-flight,0
1788832980,cqlite-flight,0
1788832995,cqlite-flight,0
1788833010,cqlite-flight,0
1788833025,cqlite-flight,0
1788833040,cqlite-flight,0
1788833055,cqlite-flight,0
1788833070,cqlite-flight,0
1788833085,cqlite-flight,0
1788833100,cqlite-flight,0
1788833115,cqlite-flight,0
1788833130,cqlite-flight,0
1788833145,cqlite-flight,0
1788833160,cqlite-flight,0
1788833175,cqlite-flight,0
1788833190,cqlite-flight,0
1788833205,cqlite-flight,0
1788833220,cqlite-flight,0
1788833235,cqlite-flight,0
1788833250,cqlite-flight,0
1788833265,cqlite-flight,0
1788833280,cqlite-flight,0
1788833295,cqlite-flight,0
1788833310,cqlite-flight,0
1788833325,cqlite-flight,0
1788833340,cqlite-flight,0
1788833355,cqlite-flight,0
1788833370,cqlite-flight,0
1788833385,cqlite-flight,0
1788833400,cqlite-flight,0
1788833415,cqlite-flight,0
1788833430,cqlite-flight,0
1788833445,cqlite-flight,0
1788833460,cqlite-flight,0
1788833475,cqlite-flight,0
1788833490,cqlite-flight,0
1788833505,cqlite-flight,0
1788833520,cqlite-flight,0
1788833535,cqlite-flight,0
1788833550,cqlite-flight,0
1788833565,cqlite-flight,0
1788833580,cqlite-flight,0
1788833595,cqlite-flight,0
1788833610,cqlite-flight,0
1788833625,cqlite-flight,0
